transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id
1,42,Huffman LLC,2025-04-01 01:00:02,328.34,"663 Christine Burg, Yonkers, NY 10947",p2p_transfer,
2,23,Stephens and Sons,2025-04-01 01:09:37,238.74,"334 Valenzuela Mill, Bronx, NY 13668",purchase,
3,11,"Benson, Young and Gonzalez",2025-04-01 01:13:01,136.1,"1467 Bennett Court, New York, NY 16144",bill_payment,
4,4,Davis-Chan,2025-04-01 01:22:13,-17.73,"613 Jordan Island, Binghamton, NY 18066",refund,
5,51,Davis Inc,2025-04-01 01:49:13,466.55,"7087 Snyder Green, Brooklyn, NY 18937",bill_payment,
6,7,"Dixon, Oconnor and Foley",2025-04-01 02:00:55,76.12,"1530 Judy Locks, Syracuse, NY 12199",purchase,
7,7,"Colon, Johnson and Jacobs",2025-04-01 02:06:52,381.65,"7751 Amber Course, Cheektowaga, NY 13229",bill_payment,
8,47,Hughes LLC,2025-04-01 02:07:04,-313.97,"7404 Morris Loaf, Troy, NY 11947",refund,
9,31,Mcdonald Group,2025-04-01 02:08:27,-404.52,"1175 Sheryl Point, Bronx, NY 12367",refund,
10,7,"Oconnell, Lewis and Vargas",2025-04-01 02:23:34,-402.11,"9446 Rivera Knolls, Yonkers, NY 17928",refund,
11,2,"Colon, Lewis and Ballard",2025-04-01 02:24:31,-173.85,"6001 Smith Mountain, Rochester, NY 14506",refund,
12,7,Adams Inc,2025-04-01 02:40:27,50.71,"3172 Carney Gardens, Staten Island, NY 19454",atm_withdrawal,
13,22,Brandt-Gutierrez,2025-04-01 02:44:27,325.25,"1279 Webb Courts, Cheektowaga, NY 12604",wire_transfer,
14,44,"Barnes, Shelton and Oneill",2025-04-01 02:59:24,246.1,"7985 Matthew Valley, Schenectady, NY 17339",wire_transfer,
15,31,"Hurst, Weber and Perry",2025-04-01 03:28:53,128.74,"6413 Victoria Curve, Yonkers, NY 18222",wire_transfer,
16,12,"Jimenez, Perez and Jones",2025-04-01 03:28:54,211.0,"1848 Amy Crossroad, Albany, NY 11213",bill_payment,
17,2,"Bean, Small and Hensley",2025-04-01 03:34:27,198.59,"6501 Adam Islands, Utica, NY 10764",atm_withdrawal,
18,22,Wall-Young,2025-04-01 03:46:12,-265.34,"2319 Holloway Crossing, Buffalo, NY 10595",refund,
19,39,Johnson Inc,2025-04-01 03:50:42,-98.38,"3534 Scott Trail, Troy, NY 17672",refund,
20,51,Love-Vincent,2025-04-01 03:51:45,5602.5,"4184 Miller Loaf, Troy, NY 18837",wire_transfer,
21,44,Wilson and Sons,2025-04-01 03:56:21,281.71,"1791 Timothy Ridges, Niagara Falls, NY 10103",purchase,
22,21,"Smith, Jordan and Stewart",2025-04-01 03:56:46,-106.86,"7112 Kristina Forest, Rochester, NY 14788",refund,
23,18,Copeland PLC,2025-04-01 04:08:43,-491.48,"9291 Johnson Drive, Owensbury, CT 09177",refund,
24,22,Smith-Sanchez,2025-04-01 04:48:30,385.05,"4560 Huff Stravenue, New York, NY 16004",purchase,
25,19,Rice-Lambert,2025-04-01 04:50:25,-361.47,"5223 Toni Rue, Cheektowaga, NY 11406",refund,
26,35,"Taylor, Bowman and Hess",2025-04-01 04:51:01,-364.97,"9825 Stephanie Parkway, Buffalo, NY 13615",refund,
27,25,Johnson-Mitchell,2025-04-01 04:53:00,-304.65,"1027 Gerald Orchard, Staten Island, NY 18189",refund,
28,12,Long Inc,2025-04-01 05:04:42,38.18,"9302 Leslie Fall, Staten Island, NY 16418",atm_withdrawal,
29,24,Wang PLC,2025-04-01 05:05:44,109.73,"5500 Adam Rapid, Brooklyn, NY 13383",wire_transfer,
30,31,"Wheeler, Hogan and Sanchez",2025-04-01 05:18:54,-139.72,"1366 Bonnie Neck, Staten Island, NY 16086",refund,
31,28,Zuniga-Sanchez,2025-04-01 05:42:19,462.04,"6627 Christian Prairie, Buffalo, NY 14831",wire_transfer,
32,46,Kerr and Sons,2025-04-01 05:58:11,82.75,"7189 Sara Land, Rochester, NY 13040",bill_payment,
33,35,Marks-Dunn,2025-04-01 06:01:25,139.94,"7699 Donald Mission, Port Margaretland, PA 17797",atm_withdrawal,
34,10,"Gamble, Hughes and Trevino",2025-04-01 06:15:35,39.24,"7351 Jackson Road, Queens, NY 14032",atm_withdrawal,
35,18,George PLC,2025-04-01 06:28:09,127.82,"6972 Stephen Gateway, Foleychester, VT 03398",p2p_transfer,
36,9,Frazier-Evans,2025-04-01 06:28:22,35.15,"5657 Edwards Brooks, Troy, NY 11049",purchase,
37,21,Weber-Butler,2025-04-01 06:53:52,296.6,"1680 Jason Orchard, Jimmyport, PA 19766",purchase,
38,31,Barnett and Sons,2025-04-01 06:54:06,140.32,"2821 Jon Rapid, Niagara Falls, NY 13816",atm_withdrawal,
39,29,"Wood, Shepard and Reese",2025-04-01 07:26:35,3671.1,"127 Bradford Roads, Cheektowaga, NY 15635",purchase,
40,30,Henderson LLC,2025-04-01 07:53:09,-39.45,"8493 Wagner Courts, Staten Island, NY 18950",refund,
41,8,Martin LLC,2025-04-01 08:01:46,81.94,"1598 Derrick Creek, Cheektowaga, NY 17940",p2p_transfer,
42,16,Roberts-Beck,2025-04-01 08:11:41,153.2,"4549 Blackwell Points, New York, NY 17310",purchase,
43,37,"Berg, Fowler and Vaughan",2025-04-01 08:33:13,232.05,"9967 Kelsey Path, Hooverport, IL 64776",purchase,
44,26,Smith-Villanueva,2025-04-01 08:34:27,485.0,"5564 Allen Islands, Syracuse, NY 17727",wire_transfer,
45,43,Johnson Group,2025-04-01 09:31:57,392.59,"7777 Lang Locks, New York, NY 14921",p2p_transfer,
46,41,Stevens Inc,2025-04-01 09:32:22,253.37,"4906 Mendoza Passage, Queens, NY 11658",bill_payment,
47,41,Cross-Steele,2025-04-01 09:55:24,293.18,"9246 Mathews Lights, Buffalo, NY 11934",wire_transfer,
48,28,"Sherman, Clark and Evans",2025-04-01 10:00:17,-416.38,"6274 James Radial, Cheektowaga, NY 15067",refund,
49,15,Allen-Harris,2025-04-01 10:00:54,178.63,"7024 Kimberly Cliffs, Niagara Falls, NY 11624",purchase,
50,5,Rogers PLC,2025-04-01 10:05:57,171.73,"7969 Shawna Station, Bronx, NY 15538",atm_withdrawal,
51,25,Moore-Francis,2025-04-01 10:11:46,145.3,"9225 Steven Gateway, Troy, NY 14412",atm_withdrawal,
52,28,Gonzalez PLC,2025-04-01 10:20:20,-124.62,"1209 Zachary Via, New York, NY 10071",refund,
53,7,"Williams, Hull and Shelton",2025-04-01 10:24:35,187.5,"7924 Edward Village, Binghamton, NY 18757",wire_transfer,
54,24,Bright-Kidd,2025-04-01 10:28:30,194.41,"1284 Patterson Pine, South Jason, MA 00445",atm_withdrawal,
55,37,"Smith, Richmond and Hardy",2025-04-01 10:28:44,325.58,"5144 Jason Mill, Staten Island, NY 16947",bill_payment,
56,45,Church-Owens,2025-04-01 10:32:22,441.07,"8303 Robert Crossroad, White Plains, NY 14374",bill_payment,
57,23,Sutton Group,2025-04-01 10:35:24,195.78,"8585 Ronald Port, Niagara Falls, NY 12946",atm_withdrawal,
58,41,"Roberts, Adkins and Stein",2025-04-01 11:11:44,228.91,"1521 Timothy Walks, Cheektowaga, NY 18565",purchase,
59,2,Alexander-Perry,2025-04-01 11:40:27,166.06,"531 Petty Dale, Albany, NY 17434",wire_transfer,
60,47,"Werner, Porter and Evans",2025-04-01 11:50:57,-268.98,"7726 Cody Street, White Plains, NY 13417",refund,
61,18,Phillips and Sons,2025-04-01 12:06:09,67.71,"4436 Murphy Lock, Binghamton, NY 13510",atm_withdrawal,
62,7,"Hutchinson, Garner and Nolan",2025-04-01 12:19:57,-49.36,"9512 Davis Fort, Ithaca, NY 19607",refund,
63,48,"Hunt, Esparza and Smith",2025-04-01 12:31:34,177.03,"9622 Pierce Tunnel, Binghamton, NY 13654",bill_payment,
64,6,"Harris, Martinez and Chavez",2025-04-01 12:34:12,-8.65,"30 Chelsea Via, Staten Island, NY 18024",refund,
65,11,"Rodriguez, Hill and Green",2025-04-01 12:52:57,351.71,"4485 Rodney Bridge, Syracuse, NY 13788",bill_payment,
66,29,White PLC,2025-04-01 13:14:13,283.7,"9923 Harris Plains, Schenectady, NY 13398",purchase,
67,50,Smith PLC,2025-04-01 13:15:58,143.77,"7641 Cheryl Fork, Niagara Falls, NY 17403",purchase,
68,12,Smith LLC,2025-04-01 13:31:44,84.61,"6756 Jackson Cliff, Troy, NY 14924",atm_withdrawal,
69,37,Reed-Cook,2025-04-01 13:40:55,266.27,"3140 Jackson Ridge, Niagara Falls, NY 11176",purchase,
70,48,Ware-Valencia,2025-04-01 13:42:52,391.31,"589 Kurt Union, New York, NY 14861",p2p_transfer,
71,14,Phillips Inc,2025-04-01 13:51:57,463.44,"9511 Brooks Plains, Bronx, NY 17105",bill_payment,
72,35,Lucas Inc,2025-04-01 13:58:37,82.6,"3883 Williams Turnpike, Niagara Falls, NY 19378",bill_payment,
73,30,"Lee, Gross and Pierce",2025-04-01 14:03:50,153.79,"4200 Daniel Motorway, Ithaca, NY 15862",atm_withdrawal,
74,29,Diaz-Hines,2025-04-01 14:09:21,379.62,"639 Bradley Walks, Rochester, NY 16186",p2p_transfer,
75,25,"Weber, Jennings and Dominguez",2025-04-01 14:26:19,441.86,"1643 Martin Plaza, Utica, NY 10670",wire_transfer,
76,52,Finley-Garcia,2025-04-01 14:27:27,82.6,"8504 Lopez Drive, Binghamton, NY 15689",bill_payment,
77,27,"Davidson, Booker and Webster",2025-04-01 14:53:00,-150.8,"1367 Hector Extension, Bronx, NY 16556",refund,
78,14,"Blake, Villarreal and Watkins",2025-04-01 15:14:07,464.52,"6951 Burke Turnpike, Staten Island, NY 11578",bill_payment,
79,3,Cummings-Young,2025-04-01 15:14:37,-277.81,"7736 Gary Pike, Rochester, NY 10639",refund,
80,5,Harrison-Johnson,2025-04-01 15:24:58,132.82,"8836 Smith Motorway, White Plains, NY 13585",atm_withdrawal,
81,35,"Clark, Cordova and Webster",2025-04-01 15:47:57,27.67,"2619 Nicole Forges, Queens, NY 18910",purchase,
82,52,Howell Group,2025-04-01 15:48:23,80.56,"9255 Walls Fields, Brooklyn, NY 12149",purchase,
83,36,"Harris, Dodson and Cline",2025-04-01 16:03:00,372.58,"9493 Weber Hills, Bradfordland, IL 68990",bill_payment,
84,33,Conrad Inc,2025-04-01 16:10:58,225.7,"6304 Hernandez Mission, Binghamton, NY 11873",purchase,
85,42,Wright Group,2025-04-01 16:13:57,216.1,"7280 Hunt Parks, Utica, NY 12710",wire_transfer,
86,25,Smith Ltd,2025-04-01 16:34:37,176.6,"6534 Phillips Oval, New York, NY 10249",atm_withdrawal,
87,33,"Vasquez, Lopez and Young",2025-04-01 16:38:41,159.83,"7869 David Centers, Bronx, NY 19504",atm_withdrawal,
88,4,Norris-Sweeney,2025-04-01 16:41:20,221.38,"8183 Felicia Mission, Niagara Falls, NY 17802",p2p_transfer,
89,9,"Griffin, Goodman and Newman",2025-04-01 17:30:09,377.69,"1403 Hicks Turnpike, Yonkers, NY 12261",p2p_transfer,
90,51,Daniels-Ramirez,2025-04-01 17:48:56,40.89,"8133 Kenneth Land, Buffalo, NY 16485",atm_withdrawal,
91,22,Rodriguez-Turner,2025-04-01 17:53:57,263.48,"5981 Jimenez Lake, Binghamton, NY 10871",wire_transfer,
92,26,"Dixon, Poole and Brooks",2025-04-01 18:06:47,455.58,"2184 Selena Tunnel, Schenectady, NY 14662",wire_transfer,
93,20,Taylor Ltd,2025-04-01 18:10:36,277.06,"2665 Sue Well, Yonkers, NY 14928",bill_payment,
94,50,Rice Group,2025-04-01 18:12:11,-390.81,"9683 Kimberly Harbors, Troy, NY 16519",refund,
95,47,Ortega-Hopkins,2025-04-01 18:34:44,113.0,"5800 Martinez Extension, New York, NY 16621",wire_transfer,
96,39,Cortez LLC,2025-04-01 18:47:16,259.91,"3918 Johnson Forges, Buffalo, NY 18637",wire_transfer,
97,38,Wolfe-Barrett,2025-04-01 18:51:37,53.57,"1540 Jack Crescent, Schenectady, NY 12304",bill_payment,
98,1,Mills Group,2025-04-01 18:59:41,155.8,"5574 Quinn Rest, Syracuse, NY 11814",wire_transfer,
99,52,Wright PLC,2025-04-01 19:10:29,437.28,"9482 Laurie Curve, Buffalo, NY 12386",p2p_transfer,
100,34,Horne-Frazier,2025-04-01 19:12:59,299.82,"7307 Craig Lock, Queens, NY 12079",wire_transfer,
101,2,"Rodriguez, Smith and Chan",2025-04-01 20:05:48,-390.7,"506 Megan Extensions, Niagara Falls, NY 14671",refund,
102,38,Gutierrez-Trujillo,2025-04-01 20:13:41,-427.77,"2445 Eric Estate, Schenectady, NY 15293",refund,
103,19,Cook-Clay,2025-04-01 20:21:15,-96.57,"4280 Timothy Pines, White Plains, NY 12183",refund,
104,6,"Stevens, Ryan and Martin",2025-04-01 20:58:46,432.04,"1140 Noah Roads, Utica, NY 19854",bill_payment,
105,5,Randall and Sons,2025-04-01 21:31:28,-231.17,"2719 Cook Parks, Niagara Falls, NY 13078",refund,
106,46,Duke Inc,2025-04-01 21:40:38,83.96,"4220 Adam Terrace, White Plains, NY 15064",wire_transfer,
107,14,Alvarez PLC,2025-04-01 22:04:37,-220.09,"3878 Joseph Terrace, New York, NY 14454",refund,
108,20,Patterson-Conner,2025-04-01 22:22:48,488.23,"5024 Kevin Glen, Troy, NY 17227",p2p_transfer,
109,26,Schaefer-Miller,2025-04-01 22:24:38,261.68,"3430 Graham Trafficway, Troy, NY 13228",wire_transfer,
110,37,Weaver Ltd,2025-04-01 22:40:47,476.92,"792 Young Heights, Albany, NY 18758",wire_transfer,
111,22,Thomas Ltd,2025-04-01 22:45:18,125.71,"916 Becker Street, Wilsonside, PA 18968",bill_payment,
112,13,"Benson, Graves and Wong",2025-04-01 23:00:58,-280.05,"5139 Lopez Village, Lake Kevinview, VT 09281",refund,
113,21,Elliott LLC,2025-04-01 23:30:31,284.44,"4340 David Forges, Binghamton, NY 16656",bill_payment,
114,35,Johnston-Wilson,2025-04-01 23:36:30,154.27,"7784 Samantha Coves, Binghamton, NY 14905",atm_withdrawal,
115,3,"Lopez, Taylor and Young",2025-04-01 23:42:14,-453.52,"5150 Paul Stream, Queens, NY 18379",refund,
116,25,Smith Group,2025-04-02 01:44:45,-186.4,"4824 Rickey Light, Cheektowaga, NY 18141",refund,
117,12,Stewart Ltd,2025-04-02 01:56:24,-93.28,"8425 Alex Islands, Niagara Falls, NY 14070",refund,
118,17,Mendez-Peters,2025-04-02 02:00:06,327.51,"2774 Gray Roads, Syracuse, NY 18751",bill_payment,
119,52,Mcmillan-Pierce,2025-04-02 03:02:01,104.49,"3821 Frost Circle, Cheektowaga, NY 14677",atm_withdrawal,
120,8,Bush Ltd,2025-04-02 03:02:32,201.23,"7256 Micheal Points, West Jessicaborough, NJ 05628",wire_transfer,
121,2,"Ellison, Serrano and Sheppard",2025-04-02 03:03:22,138.76,"2590 Davis Walk, Troy, NY 16507",atm_withdrawal,
122,7,"Davis, Hoover and Walton",2025-04-02 03:05:32,177.1,"9693 Boyd Groves, White Plains, NY 17366",bill_payment,
123,37,"Webster, Evans and Robertson",2025-04-02 03:33:04,313.08,"6415 Mikayla Street, Staten Island, NY 16940",wire_transfer,
124,20,"Villarreal, Camacho and Mcclure",2025-04-02 03:34:50,263.67,"6768 Smith Tunnel, Troy, NY 17561",purchase,
125,33,Davis-Smith,2025-04-02 03:57:37,302.92,"6326 Burgess Path, Rochester, NY 17194",bill_payment,
126,43,Freeman-Wagner,2025-04-02 03:58:29,79.46,"3723 Kimberly Passage, White Plains, NY 16950",p2p_transfer,
127,46,Richardson PLC,2025-04-02 04:06:26,90.63,"8105 Bennett Inlet, Cheektowaga, NY 12342",purchase,
128,30,"Bryant, Dean and Payne",2025-04-02 04:11:19,36.14,"6747 Anderson Points, Queens, NY 12799",atm_withdrawal,
129,18,"Richardson, Braun and Myers",2025-04-02 04:28:41,-354.74,"2856 Brett Stream, Niagara Falls, NY 16552",refund,
130,41,Ryan-Rose,2025-04-02 04:32:07,20.3,"8883 Tracy Flats, Queens, NY 17355",atm_withdrawal,
131,11,Ramirez Ltd,2025-04-02 04:54:25,54.74,"8014 Stephanie Loaf, Cheektowaga, NY 11017",purchase,
132,2,"Franklin, Arellano and Brown",2025-04-02 04:59:13,59.25,"3973 Michael Summit, Cheektowaga, NY 18878",wire_transfer,
133,45,"Kennedy, Jordan and Nelson",2025-04-02 05:00:58,140.87,"1230 Theresa Drive, Syracuse, NY 17209",atm_withdrawal,
134,13,Santos Ltd,2025-04-02 05:35:08,274.36,"5308 Jordan Shores, Rochester, NY 14551",bill_payment,
135,25,"Horton, Walsh and Stephenson",2025-04-02 05:35:38,220.11,"400 Roberts Manor, Niagara Falls, NY 12932",wire_transfer,
136,20,"Thomas, Phillips and Tucker",2025-04-02 06:26:05,268.11,"3896 Miller Ville, New York, NY 19024",bill_payment,
137,48,"Adams, Rogers and Shelton",2025-04-02 06:31:56,5991.9,"6983 Jones Shore, Lake Derekberg, FL 32734",wire_transfer,
138,42,"Tate, Snyder and Calhoun",2025-04-02 06:32:45,65.31,"9860 Melissa Bypass, Brooklyn, NY 11757",purchase,
139,47,"Williams, Wilson and Cunningham",2025-04-02 06:41:27,456.14,"3046 Woods Wells, Niagara Falls, NY 15636",bill_payment,
140,22,"Adkins, Snyder and Young",2025-04-02 07:06:37,-401.24,"1574 Douglas Spurs, Niagara Falls, NY 15768",refund,
141,48,Burns-Fox,2025-04-02 07:19:29,73.96,"3153 Robin Estate, Binghamton, NY 16615",atm_withdrawal,
142,52,Thomas-Parker,2025-04-02 07:47:43,170.35,"5094 Spears Forges, White Plains, NY 19870",bill_payment,
143,21,Taylor Ltd,2025-04-02 08:07:02,79.9,"7739 Gibson Unions, Albany, NY 16967",purchase,
144,17,Ramirez-Shelton,2025-04-02 08:38:22,108.34,"4278 Johnson Road, South Michelleside, IL 68601",purchase,
145,25,Rivera-Morgan,2025-04-02 08:39:35,179.53,"8769 Smith Harbors, White Plains, NY 15778",wire_transfer,
146,37,Hendricks-Pena,2025-04-02 08:53:51,48.79,"6547 Christine Springs, Troy, NY 12389",atm_withdrawal,
147,42,Stone Inc,2025-04-02 09:04:55,203.62,"7249 Alice Rue, New Rachael, CT 00487",p2p_transfer,
148,51,Williams Group,2025-04-02 09:25:40,242.15,"1597 Jeffrey Point, Niagara Falls, NY 17193",bill_payment,
149,48,Cabrera-George,2025-04-02 09:28:57,-6.52,"22 Miller Circle, Schenectady, NY 16359",refund,
150,29,"Campbell, Rodriguez and Pratt",2025-04-02 09:39:33,85.34,"5259 Williamson Corners, Yonkers, NY 13947",atm_withdrawal,
151,11,"Holland, Holloway and Cruz",2025-04-02 09:47:03,290.1,"5047 Sabrina Rapids, West Lisafurt, MA 07864",p2p_transfer,
152,42,Wallace-Sheppard,2025-04-02 09:52:54,297.13,"4394 Patterson Island, Albany, NY 19363",bill_payment,
153,52,"Tucker, Navarro and Burton",2025-04-02 10:02:29,263.32,"7137 Patrick Plain, Syracuse, NY 17658",purchase,
154,44,Santana-Chandler,2025-04-02 10:10:38,-380.4,"6265 Phillips Road, Staten Island, NY 18731",refund,
155,52,George Group,2025-04-02 10:14:47,52.82,"7290 David Plains, Ithaca, NY 16255",p2p_transfer,
156,50,Drake Ltd,2025-04-02 10:36:57,-469.29,"6809 Willis Fork, Bronx, NY 14973",refund,
157,18,Campbell-White,2025-04-02 10:53:01,121.92,"5498 Lori Expressway, Utica, NY 19582",purchase,
158,4,Parker-Chapman,2025-04-02 10:58:00,254.45,"9363 James Valley, Niagara Falls, NY 13660",purchase,
159,40,Torres-Fitzpatrick,2025-04-02 11:15:54,-140.51,"1494 Shelby Bridge, Ithaca, NY 10343",refund,
160,45,"Shannon, Vaughan and Harvey",2025-04-02 11:37:30,463.42,"9080 Brown Circle, White Plains, NY 17234",wire_transfer,
161,51,Acosta Inc,2025-04-02 11:40:45,21.82,"7688 Peter Unions, White Plains, NY 13372",atm_withdrawal,
162,44,Brown Ltd,2025-04-02 11:52:32,-378.24,"1412 Stephanie Forest, Utica, NY 18612",refund,
163,5,Davis LLC,2025-04-02 12:01:13,21.03,"2698 Ball Parks, South Robertport, PA 18756",atm_withdrawal,
164,29,"Matthews, Mendoza and Mejia",2025-04-02 12:17:28,103.63,"6770 Silva Walk, Buffalo, NY 19450",bill_payment,
165,33,Jones and Sons,2025-04-02 12:40:06,-151.05,"3104 James Corner, Staten Island, NY 18413",refund,
166,46,Lee Ltd,2025-04-02 12:58:32,108.18,"6698 Martinez Keys, Schenectady, NY 14086",bill_payment,
167,28,"Lee, Hicks and Copeland",2025-04-02 12:59:15,3945.3,"8493 Steven Route, Queens, NY 19797",purchase,
168,29,Reid LLC,2025-04-02 13:03:14,2310.15,"521 Benjamin Islands, New York, NY 11650",atm_withdrawal,
169,13,Gray Inc,2025-04-02 13:03:39,4498.2,"1013 Melissa Fords, Binghamton, NY 19937",purchase,
170,18,"Simpson, Huber and Hensley",2025-04-02 13:16:29,148.01,"8923 Frank Overpass, Schenectady, NY 10729",purchase,
171,2,Walton and Sons,2025-04-02 13:16:32,424.2,"6577 Laura Avenue, Cheektowaga, NY 13057",bill_payment,
172,17,White and Sons,2025-04-02 13:32:07,166.64,"291 Yvette Islands, Cheektowaga, NY 12560",atm_withdrawal,
173,2,"King, Jackson and Lawrence",2025-04-02 13:53:12,107.5,"1545 Tommy Trail, Rochester, NY 16832",wire_transfer,
174,37,"Savage, Lozano and Paul",2025-04-02 14:37:08,409.27,"2184 Christopher Passage, Syracuse, NY 17462",p2p_transfer,
175,12,"Maldonado, Thornton and West",2025-04-02 14:39:16,6210.45,"4502 Bird Green, Yonkers, NY 19098",bill_payment,
176,50,Moore-Morse,2025-04-02 14:46:55,1553.85,"763 Brandon Brook, Staten Island, NY 14712",p2p_transfer,
177,18,Gomez PLC,2025-04-02 14:58:00,180.73,"1076 Jennifer Loop, Schenectady, NY 13455",atm_withdrawal,
178,1,Smith-Schneider,2025-04-02 15:18:54,109.03,"5497 Phillips Lodge, Staten Island, NY 11883",purchase,
179,22,Kelly Group,2025-04-02 15:59:49,172.55,"8654 Garner Ridges, Queens, NY 19542",purchase,
180,24,Patel-Ellis,2025-04-02 16:14:58,471.73,"5818 Miller Extensions, Binghamton, NY 15553",bill_payment,
181,7,Cook-Garcia,2025-04-02 16:17:51,-381.31,"4384 Rivera Fall, Niagara Falls, NY 19553",refund,
182,12,Dunn-Kennedy,2025-04-02 16:27:29,290.1,"5998 Sabrina Centers, New York, NY 19455",p2p_transfer,
183,41,"Barr, Fowler and Saunders",2025-04-02 16:39:08,463.73,"1752 Turner Turnpike, Binghamton, NY 12329",wire_transfer,
184,43,"Ellis, Kelly and Wilson",2025-04-02 16:40:14,423.41,"5657 Melanie Mills, Ithaca, NY 10716",wire_transfer,
185,43,"Mclean, May and Roy",2025-04-02 17:14:16,70.13,"5002 Lorraine River, Niagara Falls, NY 14134",atm_withdrawal,
186,2,"Gardner, Leonard and Sutton",2025-04-02 17:55:48,358.47,"2614 Rivers Ville, Niagara Falls, NY 19771",wire_transfer,
187,8,"Landry, Benitez and Wolfe",2025-04-02 18:24:23,153.72,"3540 William Shore, Lake Jamie, MA 04464",purchase,
188,42,"Franklin, King and Cole",2025-04-02 18:29:42,-360.32,"6022 Garcia Plains, Rochester, NY 18365",refund,
189,27,Watkins-Hudson,2025-04-02 19:12:58,231.49,"1834 Jones Brook, Bronx, NY 15708",purchase,
190,26,Acosta Group,2025-04-02 19:23:53,56.76,"7224 Michael Viaduct, Ithaca, NY 15603",atm_withdrawal,
191,3,"Pham, Johnson and Goodman",2025-04-02 19:48:01,340.3,"3039 Amber Junction, Bronx, NY 14011",wire_transfer,
192,3,Carter PLC,2025-04-02 20:01:35,363.0,"5950 Michael Ford, Binghamton, NY 17650",wire_transfer,
193,17,Miller-Lopez,2025-04-02 20:02:53,481.0,"9164 Gray Union, Albany, NY 14733",wire_transfer,
194,45,Avery-Neal,2025-04-02 20:06:56,266.6,"3349 David Ridge, Yonkers, NY 12795",wire_transfer,
195,37,"Moss, Sosa and Torres",2025-04-02 20:28:23,-129.27,"9160 Gray Isle, Ithaca, NY 13499",refund,
196,43,Brown and Sons,2025-04-02 20:28:44,-47.6,"246 Andersen Crossing, Niagara Falls, NY 14194",refund,
197,8,Dickson PLC,2025-04-02 20:28:51,49.61,"2137 Turner Mountain, Lake Paul, TX 78531",purchase,
198,19,Aguilar-Stewart,2025-04-02 20:30:18,454.96,"9018 Brenda Drive, New York, NY 19994",bill_payment,
199,7,"Villarreal, Lucas and Farmer",2025-04-02 21:17:27,-115.06,"5880 Frederick Street, Rochester, NY 15755",refund,
200,46,Henry Inc,2025-04-02 21:22:33,66.26,"7194 Brian Divide, White Plains, NY 11614",atm_withdrawal,
